Chương,Số thứ tự,Tên mô hình,UID sketchfab
Thành phần hóa học của tế bào,1,Khung carbon,c2dc1e010c61429daea378c66a6e1b1c
Thành phần hóa học của tế bào,2,Nước,960db05560484053b1c7f565b16b6c7d
Thành phần hóa học của tế bào,3,Đường đơn,10659ca1502c4ade88abba6284bb50f2
Thành phần hóa học của tế bào,4,Đường đôi,b0bbbbb2240e446daf4957ede947966d
Thành phần hóa học của tế bào,5,Đường đa,140a3d34ee254eaa81ba10828d257d2d
Thành phần hóa học của tế bào,6,Lipid,e2f82ea57cc1411cb536f524c44c1249
Thành phần hóa học của tế bào,7,Phospholipid,4b5bb7735f834bb9ab2ccf6aba3dafcb
Thành phần hóa học của tế bào,8,Steroid,a71b3d072d26435b92d4cc94f0961a19
Thành phần hóa học của tế bào,9,Amino acid,f4c776fb45c046e5a3fbbe13106b531f
Thành phần hóa học của tế bào,10,Các bậc cấu trúc của protein,695fc24af5d342c3a24023ed3547748b
Thành phần hóa học của tế bào,11,Liên kết trong protein,83faecabd347463ea067c027ecd7c8ae
Thành phần hóa học của tế bào,12,DNA,27714f2b8e2a42f0aedb30f92bdd9c73
Thành phần hóa học của tế bào,13,mRNA,86d3572002254365bc52c0c034445718
Thành phần hóa học của tế bào,14,tRNA,8ab8a1d412404d73ba66ee82bdd22f4f
Cấu trúc tế bào,1,Tế bào nhân sơ,8488cbee912f48d38d3da676af129884
Cấu trúc tế bào,2,Vi khuẩn Gr- và Gr+,84f3dec894ac4c9fa19107a8de6ae6f8
Cấu trúc tế bào,3,Tế bào nhân thực,cbdf7e677572492dacbb5834081592e7
Cấu trúc tế bào,4,Nhân tế bào,7e01bff42b2d47fab640503bcef071e6
Cấu trúc tế bào,5,Ribosome,18677ad9afa74e52962b18a72d389779
Cấu trúc tế bào,6,Lưới nội chất,15ea78c8537b476e8a4660859b7f5ebf
Cấu trúc tế bào,7,Bộ máy Golgi,caa5b5abadbf495a928f30ddf94022b7
Cấu trúc tế bào,8,Lysosome,6fc2fdc16a6b4463b581880c965d536d
Cấu trúc tế bào,9,Peroxisome,9b9e99738c444798a30f91d924445339
Cấu trúc tế bào,10,Không bào,f16b81681c9f4901a3d81af7324c4c8d
Cấu trúc tế bào,11,Ti thể,e6f450c77fd74c468568c6528ab08ae4
